Depart CFT Lot,Depart Crofts,Depart Flint Loop,Depart Flint Village East
8:00,8:01,8:05,8:08
8:15,8:16,8:20,no pickup
8:25,8:26,8:30,8:33
8:40,8:41,8:45,no pickup
8:50,8:51,8:55,8:58
9:05,9:06,9:10,no pickup
9:15,9:16,9:20,9:23
9:30,9:31,9:35,no pickup
9:40,9:41,9:45,9:48
9:55,9:56,10:00,no pickup
10:05,10:06,10:10,10:13
10:20,10:21,10:25,no pickup
10:30,10:31,10:35,10:38
10:45,10:46,10:50,no pickup
10:55,10:56,11:00,11:03
11:10,11:11,11:15,no pickup
11:20,11:21,11:25,11:28
11:35,11:36,11:40,no pickup
Depart CFT Lot,Depart Crofts,Depart Flint Loop,Depart Flint Village East
11:45,11:46,11:50,11:53
12:00,12:01,12:05,no pickup
12:10,12:11,12:15,12:18
12:25,12:26,12:30,no pickup
12:35,12:36,12:40,12:43
12:50,12:51,12:55,no pickup
1:00,1:01,1:05,1:08
1:15,1:16,1:20,no pickup
1:25,1:26,1:30,1:33
1:40,1:41,1:45,no pickup
1:50,1:51,1:55,1:58
2:05,2:06,2:10,no pickup
2:15,2:16,2:20,2:23
2:30,2:31,2:35,no pickup
2:40,2:41,2:45,2:48
2:55,2:56,3:00,no pickup
3:05,3:06,3:10,3:13
3:20,3:21,3:25,no pickup
Depart CFT Lot,Depart Crofts,Depart Flint Loop,Depart Flint Village East
3:30,3:31,3:35,3:38
3:45,3:46,3:50,no pickup
3:55,3:56,4:00,4:03
4:10,4:11,4:15,no pickup
4:20,4:21,4:25,4:28
4:35,4:36,4:40,no pickup
4:45,4:46,4:50,4:53
5:00,5:01,5:05,no pickup
5:10,5:11,5:15,5:18
5:25,5:26,5:30,no pickup
5:35,5:36,5:40,5:43
5:50,5:51,5:55,no pickup
6:00,6:01,6:05,6:08
6:15,6:16,6:20,no pickup
6:25,6:26,6:30,6:33
6:40,6:41,6:45,no pickup
6:50,6:51,6:55,6:58
7:05,7:06,7:10,no pickup
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
