Depart Creekside Village,Depart Moody Terrace (Ellicott),Depart South Lake Village (to Spine),Depart Alumni/Stadium,Depart Center For The Arts,Depart Lockwood,Depart Founder's/O'Brian,Depart Cooke/Hochstetter,Depart Natural Sciences Complex,Depart Flickinger Court,Depart Hadley Village,Depart Computing Center,Depart Lower Capen,Depart Student Union,Depart Lockwood,Depart Alumni/Stadium,Depart South Lake Village (to Ellicott),Depart Greiner Hall
6:30,6:35,6:40,6:42,6:44,6:45,6:50,6:51,6:52,7:00,7:05,7:07,7:08,7:10,7:11,7:13,7:15,7:18
6:55,7:00,7:05,7:07,7:09,7:10,7:15,7:16,7:17,7:25,7:30,7:32,7:33,7:35,7:36,7:38,7:40,7:43
7:20,7:25,7:30,7:32,7:34,7:35,7:40,7:41,7:42,7:50,7:55,7:57,7:58,8:00,8:01,8:03,8:05,8:08
7:32,7:37,7:42,7:44,7:46,7:47,7:52,7:53,7:54,8:02,8:07,8:09,8:10,8:12,8:13,8:15,8:17,8:20
7:45,7:50,7:55,7:57,7:59,8:00,8:05,8:06,8:07,8:15,8:20,8:22,8:23,8:25,8:26,8:28,8:30,8:33
7:57,8:02,8:07,8:09,8:11,8:12,8:17,8:18,8:19,8:27,8:32,8:34,8:35,8:37,8:38,8:40,8:42,8:45
8:10,8:15,8:20,8:22,8:24,8:25,8:30,8:31,8:32,8:40,8:45,8:47,8:48,8:50,8:51,8:53,8:55,8:58
8:22,8:27,8:32,8:34,8:36,8:37,8:42,8:43,8:44,8:52,8:57,8:59,9:00,9:02,9:03,9:05,9:07,9:10
8:35,8:40,8:45,8:47,8:49,8:50,8:55,8:56,8:57,9:05,9:10,9:12,9:13,9:15,9:16,9:18,9:20,9:23
8:47,8:52,8:57,8:59,9:01,9:02,9:07,9:08,9:09,9:17,9:22,9:24,9:25,9:27,9:28,9:30,9:32,9:35
9:00,9:05,9:10,9:12,9:14,9:15,9:20,9:21,9:22,9:30,9:35,9:37,9:38,9:40,9:41,9:43,9:45,9:48
9:12,9:17,9:22,9:24,9:26,9:27,9:32,9:33,9:34,9:42,9:47,9:49,9:50,9:52,9:53,9:55,9:57,10:00
9:25,9:30,9:35,9:37,9:39,9:40,9:45,9:46,9:47,9:55,10:00,10:02,10:03,10:05,10:06,10:08,10:10,10:13
9:37,9:42,9:47,9:49,9:51,9:52,9:57,9:58,9:59,10:07,10:12,10:14,10:15,10:17,10:18,10:20,10:22,10:25
9:50,9:55,10:00,10:02,10:04,10:05,10:10,10:11,10:12,10:20,10:25,10:27,10:28,10:30,10:31,10:33,10:35,10:38
10:02,10:07,10:12,10:14,10:16,10:17,10:22,10:23,10:24,10:32,10:37,10:39,10:40,10:42,10:43,10:45,10:47,10:50
10:15,10:20,10:25,10:27,10:29,10:30,10:35,10:36,10:37,10:45,10:50,10:52,10:53,10:55,10:56,10:58,11:00,11:03
10:27,10:32,10:37,10:39,10:41,10:42,10:47,10:48,10:49,10:57,11:02,11:04,11:05,11:07,11:08,11:10,11:12,11:15
10:40,10:45,10:50,10:52,10:54,10:55,11:00,11:01,11:02,11:10,11:15,11:17,11:18,11:20,11:21,11:23,11:25,11:28
10:52,10:57,11:02,11:04,11:06,11:07,11:12,11:13,11:14,11:22,11:27,11:29,11:30,11:32,11:33,11:35,11:37,11:40
11:05,11:10,11:15,11:17,11:19,11:20,11:25,11:26,11:27,11:35,11:40,11:42,11:43,11:45,11:46,11:48,11:50,11:53
11:17,11:22,11:27,11:29,11:31,11:32,11:37,11:38,11:39,11:47,11:52,11:54,11:55,11:57,11:58,12:00,12:02,12:05
11:30,11:35,11:40,11:42,11:44,11:45,11:50,11:51,11:52,12:00,12:05,12:07,12:08,12:10,12:11,12:13,12:15,12:18
11:42,11:47,11:52,11:54,11:56,11:57,12:02,12:03,12:04,12:12,12:17,12:19,12:20,12:22,12:23,12:25,12:27,12:30
11:55,12:00,12:05,12:07,12:09,12:10,12:15,12:16,12:17,12:25,12:30,12:32,12:33,12:35,12:36,12:38,12:40,12:43
12:07,12:12,12:17,12:19,12:21,12:22,12:27,12:28,12:29,12:37,12:42,12:44,12:45,12:47,12:48,12:50,12:52,12:55
